Hs (m),log10(Hs),a (true),a (pred),log10(a_true),log10(a_pred),a / Hs^6
4.560685e+00,6.590301e-01,7.751039e-04,7.684141e-04,-3.110640e+00,-3.114405e+00,8.539153e-08
5.342996e+00,7.277848e-01,2.003956e-03,1.976724e-03,-2.698112e+00,-2.704054e+00,8.496444e-08
4.360678e+00,6.395540e-01,5.922474e-04,5.879705e-04,-3.227497e+00,-3.230644e+00,8.551289e-08
5.002934e+00,6.992247e-01,1.350603e-03,1.335027e-03,-2.869472e+00,-2.874510e+00,8.514159e-08
3.918281e+00,5.930955e-01,3.117113e-04,3.105106e-04,-3.506248e+00,-3.507924e+00,8.580314e-08
4.106653e+00,6.134880e-01,4.131497e-04,4.109467e-04,-3.383893e+00,-3.386214e+00,8.567564e-08
1.212111e+00,8.354256e-02,2.731711e-07,2.824218e-07,-6.563565e+00,-6.549102e+00,8.905182e-08
1.836785e+00,2.640584e-01,3.307725e-06,3.375013e-06,-5.480471e+00,-5.471725e+00,8.788713e-08
1.472215e+00,1.679712e-01,8.770140e-07,9.011464e-07,-6.056993e+00,-6.045205e+00,8.850508e-08
2.792329e+00,4.459665e-01,4.082993e-05,4.111139e-05,-4.389021e+00,-4.386038e+00,8.672873e-08
5.095944e+00,7.072247e-01,1.508438e-03,1.490172e-03,-2.821473e+00,-2.826764e+00,8.509191e-08
1.581832e+00,1.991603e-01,1.349402e-06,1.383383e-06,-5.869859e+00,-5.859057e+00,8.830403e-08
1.811167e+00,2.579585e-01,3.040396e-06,3.103623e-06,-5.517070e+00,-5.508131e+00,8.792614e-08
5.962573e+00,7.754337e-01,3.870630e-03,3.804787e-03,-2.412218e+00,-2.419670e+00,8.466971e-08
5.810863e+00,7.642406e-01,3.316065e-03,3.262319e-03,-2.479377e+00,-2.486474e+00,8.473890e-08
5.833274e+00,7.659124e-01,3.393544e-03,3.338134e-03,-2.469347e+00,-2.476496e+00,8.472851e-08
1.696780e+00,2.296256e-01,2.055573e-06,2.102661e-06,-5.687067e+00,-5.677231e+00,8.810802e-08
5.873966e+00,7.689314e-01,3.538081e-03,3.479545e-03,-2.451232e+00,-2.458477e+00,8.470988e-08
3.984726e+00,6.003985e-01,3.448024e-04,3.432914e-04,-3.462430e+00,-3.464337e+00,8.575748e-08
4.401141e+00,6.435653e-01,6.259952e-04,6.212931e-04,-3.203429e+00,-3.206703e+00,8.548793e-08
3.373154e+00,5.280362e-01,1.268810e-04,1.269934e-04,-3.896603e+00,-3.896219e+00,8.621124e-08
2.158359e+00,3.341236e-01,8.708050e-06,8.839900e-06,-5.060079e+00,-5.053553e+00,8.743912e-08
1.430161e+00,1.553849e-01,7.370355e-07,7.580124e-07,-6.132512e+00,-6.120324e+00,8.858643e-08
2.506889e+00,3.991352e-01,2.137915e-05,2.160018e-05,-4.670010e+00,-4.665543e+00,8.702547e-08
4.039526e+00,6.063304e-01,3.742500e-04,3.724486e-04,-3.426838e+00,-3.428934e+00,8.572034e-08
1.706118e+00,2.320090e-01,2.124385e-06,2.172672e-06,-5.672767e+00,-5.663006e+00,8.809275e-08
5.835633e+00,7.660880e-01,3.401787e-03,3.346200e-03,-2.468293e+00,-2.475448e+00,8.472741e-08
3.616648e+00,5.583063e-01,1.927599e-04,1.925054e-04,-3.714983e+00,-3.715557e+00,8.602117e-08
1.885553e+00,2.754388e-01,3.870904e-06,3.946368e-06,-5.412188e+00,-5.403802e+00,8.781418e-08
4.180480e+00,6.212261e-01,4.597655e-04,4.570557e-04,-3.337464e+00,-3.340031e+00,8.562728e-08
2.187717e+00,3.399911e-01,9.443344e-06,9.582223e-06,-5.024874e+00,-5.018534e+00,8.740168e-08
4.835941e+00,6.844810e-01,1.101705e-03,1.090172e-03,-2.957935e+00,-2.962505e+00,8.523325e-08
5.673977e+00,7.538876e-01,2.874120e-03,2.829671e-03,-2.541495e+00,-2.548264e+00,8.480283e-08
5.435432e+00,7.352341e-01,2.221180e-03,2.189808e-03,-2.653416e+00,-2.659594e+00,8.491836e-08
1.354661e+00,1.318307e-01,5.323085e-07,5.483996e-07,-6.273837e+00,-6.260903e+00,8.873872e-08
2.959054e+00,4.711530e-01,5.782250e-05,5.811432e-05,-4.237903e+00,-4.235717e+00,8.656961e-08
1.562902e+00,1.939317e-01,1.255364e-06,1.287468e-06,-5.901230e+00,-5.890264e+00,8.833769e-08
1.034911e+00,1.490312e-02,1.058274e-07,1.099602e-07,-6.975402e+00,-6.958765e+00,8.949871e-08
1.045192e+00,1.919623e-02,1.122940e-07,1.166428e-07,-6.949644e+00,-6.933142e+00,8.947062e-08
3.271727e+00,5.147771e-01,1.056432e-04,1.058391e-04,-3.976158e+00,-3.975354e+00,8.629465e-08
4.290511e+00,6.325091e-01,5.373205e-04,5.337148e-04,-3.269767e+00,-3.272691e+00,8.555689e-08
4.617239e+00,6.643823e-01,8.345906e-04,8.270644e-04,-3.078526e+00,-3.082461e+00,8.535819e-08
2.365354e+00,3.738962e-01,1.508539e-05,1.526942e-05,-4.821444e+00,-4.816177e+00,8.718578e-08
2.236155e+00,3.495020e-01,1.076939e-05,1.092020e-05,-4.967809e+00,-4.961770e+00,8.734111e-08
1.201290e+00,7.964787e-02,2.588609e-07,2.677031e-07,-6.586934e+00,-6.572347e+00,8.907711e-08
2.051593e+00,3.120912e-01,6.422829e-06,6.530568e-06,-5.192274e+00,-5.185049e+00,8.757979e-08
3.048364e+00,4.840669e-01,6.911631e-05,6.939972e-05,-4.160419e+00,-4.158642e+00,8.648811e-08
2.368202e+00,3.744187e-01,1.519468e-05,1.537950e-05,-4.818308e+00,-4.813058e+00,8.718256e-08
2.946478e+00,4.693032e-01,5.636357e-05,5.665568e-05,-4.249002e+00,-4.246757e+00,8.658130e-08
5.683650e+00,7.546273e-01,2.903644e-03,2.858584e-03,-2.537057e+00,-2.543849e+00,8.479827e-08
4.339340e+00,6.374236e-01,5.750704e-04,5.710066e-04,-3.240279e+00,-3.243359e+00,8.552621e-08
2.754096e+00,4.399790e-01,3.758835e-05,3.786405e-05,-4.424947e+00,-4.421773e+00,8.676668e-08
4.480399e+00,6.513167e-01,6.967541e-04,6.911293e-04,-3.156920e+00,-3.160441e+00,8.543957e-08
3.701483e+00,5.683757e-01,2.215305e-04,2.210754e-04,-3.654567e+00,-3.655460e+00,8.595794e-08
1.125996e+00,5.153666e-02,1.755493e-07,1.819182e-07,-6.755601e+00,-6.740124e+00,8.925988e-08
5.799314e+00,7.633767e-01,3.276718e-03,3.223814e-03,-2.484561e+00,-2.491630e+00,8.474423e-08
4.672220e+00,6.695232e-01,8.960220e-04,8.876094e-04,-3.047681e+00,-3.051778e+00,8.532619e-08
3.462845e+00,5.394331e-01,1.485176e-04,1.485257e-04,-3.828222e+00,-3.828198e+00,8.613963e-08
3.534602e+00,5.483406e-01,1.679665e-04,1.678665e-04,-3.774777e+00,-3.775036e+00,8.608369e-08
2.130145e+00,3.284092e-01,8.047007e-06,8.172258e-06,-5.094366e+00,-5.087658e+00,8.747561e-08
3.260995e+00,5.133501e-01,1.035810e-04,1.037838e-04,-3.984720e+00,-3.983870e+00,8.630358e-08
3.570477e+00,5.527263e-01,1.784583e-04,1.782951e-04,-3.748463e+00,-3.748861e+00,8.605613e-08
4.626858e+00,6.652862e-01,8.450771e-04,8.374017e-04,-3.073104e+00,-3.077066e+00,8.535258e-08
3.419301e+00,5.339373e-01,1.376586e-04,1.377212e-04,-3.861197e+00,-3.860999e+00,8.617412e-08
4.642453e+00,6.667475e-01,8.623124e-04,8.543885e-04,-3.064335e+00,-3.068345e+00,8.534345e-08
5.330881e+00,7.267990e-01,1.976847e-03,1.950123e-03,-2.704027e+00,-2.709938e+00,8.497051e-08
4.273253e+00,6.307586e-01,5.244826e-04,5.210293e-04,-3.280269e+00,-3.283138e+00,8.556779e-08
4.937746e+00,6.935287e-01,1.248393e-03,1.234510e-03,-2.903649e+00,-2.908505e+00,8.517700e-08
1.174558e+00,6.987440e-02,2.261650e-07,2.340571e-07,-6.645575e+00,-6.630678e+00,8.914058e-08
2.504391e+00,3.987022e-01,2.125165e-05,2.147207e-05,-4.672607e+00,-4.668126e+00,8.702833e-08
4.479496e+00,6.512291e-01,6.959112e-04,6.902977e-04,-3.157446e+00,-3.160964e+00,8.544011e-08
3.922245e+00,5.935346e-01,3.136081e-04,3.123902e-04,-3.503613e+00,-3.505303e+00,8.580040e-08
1.065472e+00,2.754214e-02,1.260180e-07,1.308185e-07,-6.899568e+00,-6.883331e+00,8.941623e-08
3.042266e+00,4.831972e-01,6.829085e-05,6.857524e-05,-4.165637e+00,-4.163833e+00,8.649363e-08
5.541329e+00,7.436140e-01,2.493809e-03,2.457081e-03,-2.603137e+00,-2.609581e+00,8.486639e-08
5.757224e+00,7.602131e-01,3.136592e-03,3.086662e-03,-2.503542e+00,-2.510511e+00,8.476378e-08
3.644686e+00,5.616601e-01,2.019016e-04,2.015856e-04,-3.694860e+00,-3.695540e+00,8.600011e-08
4.587989e+00,6.616223e-01,8.033660e-04,7.962818e-04,-3.095087e+00,-3.098933e+00,8.537538e-08
1.060784e+00,2.562691e-02,1.227271e-07,1.274203e-07,-6.911059e+00,-6.894762e+00,8.942872e-08
2.282650e+00,3.584394e-01,1.218472e-05,1.234729e-05,-4.914185e+00,-4.908428e+00,8.728419e-08
4.271710e+00,6.306018e-01,5.233471e-04,5.199073e-04,-3.281210e+00,-3.284074e+00,8.556880e-08
4.306853e+00,6.341600e-01,5.497177e-04,5.459625e-04,-3.259860e+00,-3.262837e+00,8.554657e-08
3.595161e+00,5.557184e-01,1.859901e-04,1.857794e-04,-3.730510e+00,-3.731002e+00,8.603740e-08
