========================================================================================================================
TABELA DE DADOS - VALIDAÇÃO
========================================================================================================================

      Hs (m)    log10(Hs)           a (true)           a (pred)  log10(a_true)  log10(a_pred)           a / Hs^6
      1.3547       0.1318       5.323085e-07       5.483996e-07        -6.2738        -6.2609       8.873872e-08
      2.9591       0.4712       5.782250e-05       5.811432e-05        -4.2379        -4.2357       8.656961e-08
      1.5629       0.1939       1.255364e-06       1.287468e-06        -5.9012        -5.8903       8.833769e-08
      1.0349       0.0149       1.058274e-07       1.099602e-07        -6.9754        -6.9588       8.949871e-08
      1.0452       0.0192       1.122940e-07       1.166428e-07        -6.9496        -6.9331       8.947062e-08
      3.2717       0.5148       1.056432e-04       1.058391e-04        -3.9762        -3.9754       8.629465e-08
      4.2905       0.6325       5.373205e-04       5.337148e-04        -3.2698        -3.2727       8.555689e-08
      4.6172       0.6644       8.345906e-04       8.270644e-04        -3.0785        -3.0825       8.535819e-08
      2.3654       0.3739       1.508539e-05       1.526942e-05        -4.8214        -4.8162       8.718578e-08
      2.2362       0.3495       1.076939e-05       1.092020e-05        -4.9678        -4.9618       8.734111e-08
      1.2013       0.0796       2.588609e-07       2.677031e-07        -6.5869        -6.5723       8.907711e-08
      2.0516       0.3121       6.422829e-06       6.530568e-06        -5.1923        -5.1850       8.757979e-08
      3.0484       0.4841       6.911631e-05       6.939972e-05        -4.1604        -4.1586       8.648811e-08
      2.3682       0.3744       1.519468e-05       1.537950e-05        -4.8183        -4.8131       8.718256e-08
      2.9465       0.4693       5.636357e-05       5.665568e-05        -4.2490        -4.2468       8.658130e-08
      5.6837       0.7546       2.903644e-03       2.858584e-03        -2.5371        -2.5438       8.479827e-08
      4.3393       0.6374       5.750704e-04       5.710066e-04        -3.2403        -3.2434       8.552621e-08
      2.7541       0.4400       3.758835e-05       3.786405e-05        -4.4249        -4.4218       8.676668e-08
      4.4804       0.6513       6.967541e-04       6.911293e-04        -3.1569        -3.1604       8.543957e-08
      3.7015       0.5684       2.215305e-04       2.210754e-04        -3.6546        -3.6555       8.595794e-08
      1.1260       0.0515       1.755493e-07       1.819182e-07        -6.7556        -6.7401       8.925988e-08
      5.7993       0.7634       3.276718e-03       3.223814e-03        -2.4846        -2.4916       8.474423e-08
      4.6722       0.6695       8.960220e-04       8.876094e-04        -3.0477        -3.0518       8.532619e-08
      3.4628       0.5394       1.485176e-04       1.485257e-04        -3.8282        -3.8282       8.613963e-08
      3.5346       0.5483       1.679665e-04       1.678665e-04        -3.7748        -3.7750       8.608369e-08
      2.1301       0.3284       8.047007e-06       8.172258e-06        -5.0944        -5.0877       8.747561e-08
      3.2610       0.5134       1.035810e-04       1.037838e-04        -3.9847        -3.9839       8.630358e-08
      3.5705       0.5527       1.784583e-04       1.782951e-04        -3.7485        -3.7489       8.605613e-08
      4.6269       0.6653       8.450771e-04       8.374017e-04        -3.0731        -3.0771       8.535258e-08
      3.4193       0.5339       1.376586e-04       1.377212e-04        -3.8612        -3.8610       8.617412e-08
      4.6425       0.6667       8.623124e-04       8.543885e-04        -3.0643        -3.0683       8.534345e-08
      5.3309       0.7268       1.976847e-03       1.950123e-03        -2.7040        -2.7099       8.497051e-08
      4.2733       0.6308       5.244826e-04       5.210293e-04        -3.2803        -3.2831       8.556779e-08
      4.9377       0.6935       1.248393e-03       1.234510e-03        -2.9036        -2.9085       8.517700e-08
